idx,words,lid
4301,['@itszeks' 'una' 'cosa' 'no' 'quita' 'la' 'otra'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
4302,"['Ok' ',' 'acabo' 'de' 'ver' 'que' 'ayer' 'no' 'se' 'subió' 'el' 'vlog'
 '.' 'MARAVILLOSO' ',' 'PERFECTO' ',' 'FANTÁSTICO' '.' 'Lo' 'tenéis' 'hoy'
 'a' 'las' '18h' ',' 'que' 'es' 'el' 'de' 'la' 'gala' 'de' 'los' 'EMA' '!']","['lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'other' 'lang2' 'other' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'other']"
4303,['@Chusifashionfev' 'también' 'tengo' 'amor' 'para' 'ti' '😏'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
4304,"['Tengo' 'un' 'vídeo' 'BOMBA' 'para' 'vosotros' '..' '.'
 'https://t.co/YLiDh2fwco']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other']
4305,['@MCadepe' 'gracias'],['other' 'lang2']
4306,['#MELUSH' 'https://t.co/ukrKkhK14s'],['ne' 'other']
4307,"['A' 'LAS' 'CUATRO' 'HAY' 'UN' 'VÍDEO' 'BOMBA' 'EN' 'YELLOWMELLOW' 'QUE'
 'NO' 'OS' 'PODÉIS' 'PERDER']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']"
4308,"['Me' 'lloran' 'los' 'ojos' 'de' 'estar' 'despierta' 'ahora' '.' 'Qué'
 'está' 'pasando' '.' 'Me' 'muero' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other']"
4309,"['Realmente' '@KingBach' 'es' 'muy' 'majete' '.' '☺' '️'
 'https://t.co/7siPLXj8LP']",['lang2' 'other' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other' 'other']
4310,['Ni' 'Ruby' 'ni' 'Justin' '.' 'DE' 'MOMENTO' '.'],['lang2' 'ne' 'lang2' 'ne' 'other' 'lang2' 'lang2' 'other']
4311,['MI' 'INSTAGRAM' 'ESTÁ' 'ON' 'FIRE'],['lang2' 'ne' 'lang2' 'lang1' 'lang1']
4312,"['El' 'vlog' 'de' 'hoy' ':' 'UNA' 'FIESTA' 'MUY' 'EXTRAÑA'
 'https://t.co/fwMTubDbtX']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
4313,['@AlliSpeed' 'guapa' 'tú' '!' '😍'],['other' 'lang2' 'lang2' 'other' 'other']
4314,['Listos' 'para' 'los' '#MTVEMA' 'https://t.co/hQJOGpRj40'],['lang2' 'lang2' 'lang2' 'ne' 'other']
4315,"['No' 'soy' 'yo' 'esta' '.' 'No' 'puede' 'ser' '.' 'No' 'me' 'reconozco'
 '.' 'DÓNDE' 'ESTÁ' 'MELO' '.' 'https://t.co/4gn5EDWrEl']","['lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'ne' 'other' 'other']"
4316,['@KevinLoQueSeaa' 'pero' 'qué' 'hablas'],['other' 'lang2' 'lang2' 'lang2']
4317,['@AnnaGorse_' 'y' 'tú' 'aún' 'sin' 'saberlo'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
4318,"['@BolliStuff' 'esto' 'ya' 'se' 'lleva' 'cari' ',' 'llegas' 'tarde']",['other' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'other' 'lang2' 'lang2']
4319,['@SaraBlanc0' '@HollyMollyYT' '@gominuke' 'de' 'la' 'droga'],['other' 'other' 'other' 'lang2' 'lang2' 'lang2']
4320,"['Finalmente' 'el' 'videoclip' 'se' 'estrena' 'el' 'martes' '27' 'a' 'las'
 '20h' 'en' 'mi' 'canal' 'principal' '.' 'INAMOVIBLE' '.' 'NO' 'FALTES'
 'Y' 'CORRE' 'LA' 'VOZ' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
4321,['@MCadepe' 'vente' 'a' 'milán'],['other' 'lang2' 'lang2' 'ne']
4322,"['Nada' ',' 'el' 'vídeo' 'no' 'se' 'va' 'a' 'poder' 'subir' '..' '.'
 'SORRY' ',' 'pero' 'no' 'puedo' 'hacer' 'nada' '.' 'Me' 'pone' 'que' 'va'
 'a' 'tardar' 'dos' 'horas' 'más' '.' 'SE' 'POSPONE' 'LA' 'SUBIDA' '.']","['lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
4323,['@ItsCarlaxx' 'qué' 'ha' 'dicho' '?'],['other' 'lang2' 'lang2' 'lang2' 'other']
4324,"['El' 'vlog' 'de' 'hoy' 'es' 'una' 'locura' ':' 'NO' 'OS' 'HE' 'CONTADO'
 'UNA' 'COSA' 'https://t.co/TTHkckm35F']","['lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
4325,"['Hoy' 'a' 'las' '20h' 'se' 'estrena' 'algo' 'muy' 'especial' 'en' 'el'
 'canal' '..' '.' 'EL' 'VIDEOCLIP' '.' 'HYPE' 'HYPE' 'HYPE' '!!' '!']","['lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2' 'other' 'lang1'
 'lang1' 'lang1' 'other' 'other']"
4326,['@ElvisaYM' 'Cuenta' 'con' 'mi' 'arco' '.'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
4327,['Que' 'a' 'mi' '@ElvisaYM' 'no' 'la' 'vacila' 'nadie' '.'],['lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
4328,"['@revistaQMD' '@ElvisaYM' 'No' ',' 'basta' 'con' 'informaros' 'un' 'poco'
 'y' 'no' 'ser' 'tan' 'gilipollas' ',' 'queridos' '.']","['other' 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other']"
4329,['Te' 'queremos' '@Chenoaoficial' 'https://t.co/wj8DbJUIqL'],['lang2' 'lang2' 'other' 'other']
4330,['Current' 'mood' ':' 'https://t.co/b37UKVW3st'],['lang1' 'lang1' 'other' 'other']
4331,['@BelyBasarte' 'a' 'ti' 'sí'],['other' 'lang2' 'lang2' 'lang2']
4332,['@javier_ruescas' 'te' 'quiero'],['other' 'lang2' 'lang2']
4333,['@javier_ruescas' 'ahora' 'ya' 'no' 'sé' 'quién' 'soy'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
4334,['https://t.co/JHHxkSpjJP'],['other']
4335,"['@Chenoaoficial' 'jajajajaja' 'por' 'favor' 'y' 'esa' 'cara' 'de' 'susto'
 'mía' '?' 'Un' 'placer' 'conocerte' 'bonita']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2']"
4336,"['El' 'vlog' 'de' 'hoy' ':' 'NO' 'PUEDO' 'VLOGGEAR' 'MÁS'
 'https://t.co/ojrxMyzAfw']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
4337,['@JulenHernandez' '@BolliStuff' '😎'],['other' 'other' 'other']
4338,"['@MadameTibisay' '@BelyBasarte' 'pues' 'yo' 'solo' 'digo' 'que' 'hoy'
 'os' 'enamoráis' 'de' 'mí' '😎']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other']"
4339,"['@JulenHernandez' '@ElectricNana' 'hay' 'que' 'ir' 'como' 'te' 'salga'
 'del' 'c']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2']"
4340,['@BolliStuff' 'que' 'subas'],['other' 'lang2' 'lang2']
4341,['@juliacarrots1' 'no' 'es' 'mi' 'brazo' '😂'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
4342,"['En' 'el' 'vlog' 'de' 'hoy' '..' '.' 'SOMOS' 'PRESIDIARIOS'
 'https://t.co/cVNpzZnVhk']","['lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2'
 'other']"
4343,"['@rushsmith' 'PUES' 'YO' 'NO' 'SOY' 'ASÍ' 'QUE' 'TÚ' 'VERÁS' 'A' 'QUIÉN'
 'GRITAS']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2']"
4344,"['@rushsmith' 'O' 'UNA' 'COMO' 'LA' 'MÍA' 'QUE' 'SÍ' 'QUE' 'SE' 'QUEDA'
 'CLAVADA']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2']"
4345,['@rushsmith' 'ES' 'QUE' 'ERES' 'UN' 'PRINGAO'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
4346,['@MCadepe' 'como' 'en' 'un' 'café' 'con' 'sabor' 'a' 'chorizo' '?'],"['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
4347,"['YA' 'ES' 'POSIBLE' 'NETFLIX' '&' 'CHILL' 'EN' 'ESPAÑA' 'NO' 'SÉ' 'CÓMO'
 'LO' 'VEIS' 'PERO' 'VAMOS' 'YO' 'LO' 'VEO' 'SÚPER' 'BIEN' 'EN' 'REALIDAD'
 'SABES']","['lang2' 'lang2' 'lang2' 'ne' 'other' 'ne' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2']"
4348,['@MonicaCarrillo' 'extremo' '..' '.?'],['other' 'lang2' 'other' 'other']
4349,"['Yo' 'con' '@TaySchilling' 'antes' 'en' 'la' 'fiesta' '.'
 'https://t.co/K9ln6fE3HE']",['lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']
4350,"['@BolliStuff' '@Desahogada' 'Primero' 'Justin' 'y' 'ahora' 'este' '.'
 'Qué' 'está' 'pasando' '.']","['other' 'other' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'other']"
4351,"['Ahora' 'soy' 'un' 'contrabandista' 'mexicano' '.'
 'https://t.co/jLtUq04xk1']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']
4352,"['Me' 'he' 'tumbado' 'un' 'minuto' 'en' 'el' 'sofá' 'con' 'la' 'intención'
 'de' 'descansar' 'antes' 'de' 'volver' 'a' 'salir' ',' 'pero' 'la' 'gata'
 'no' 'me' 'deja' '..' '.' 'https://t.co/f7hSylzAni']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'other']"
4353,['Y' 'luego' 'estaba' '@garrido_aura' '.'],['lang2' 'lang2' 'lang2' 'other' 'other']
4354,"['Hoy' 'en' 'la' 'fiesta' 'de' '@NetflixES' 'me' 'he' 'enamorado' 'como'
 '7930277393' 'veces' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'other']"
4355,['GET' 'OUT' 'OF' 'MY' 'KITCHEN' 'NOW' 'https://t.co/hnPE1D149v'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
4356,['@NetflixES' '@TaySchilling' '😍😍😍'],['other' 'other' 'other']
4357,['@Mr_Marzo' '@cristinabonaga' 'qué' 'pupo'],['other' 'other' 'lang2' 'lang2']
4358,"['@Mr_Marzo' '@rushsmith' 'NO' 'VUELVAS' 'AÚN' 'QUE' 'TENGO' 'QUE' 'IR'
 'A' 'VISITARTE' 'A' 'BERLÍN']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'ne']"
4359,"['¡¡' 'NUEVO' 'VÍDEO' '!!' 'Ya' 'tocaba' 'contar' 'lo' 'que' 'realmente'
 'pasó' 'en' 'Chile' 'y' 'Argentina' '..' '.' 'https://t.co/TrQCrz4raz']","['other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'ne' 'lang2' 'ne' 'other' 'other' 'other']"
4360,['UN' 'MINUTO' 'UN' 'MINUTO' 'UN' 'MINUTO' 'UN' 'MINUTO'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
4361,"['En' 'el' 'vídeo' 'de' 'hoy' 'a' 'las' '20.00' 'h' 'contaré' 'TODA' 'LA'
 'VERDAD' 'DE' 'LO' 'QUE' 'PASÓ' 'EN' 'CHILE' 'Y' 'ARGENTINA' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'ne' 'lang2' 'ne' 'other']"
4362,"['He' 'alargado' 'la' 'alarma' 'como' 'dos' 'horas' 'y' 'media' '..' '.'
 'En' 'ese' 'tiempo' 'he' 'soñado' 'con' '@LuzuVlogs' ',' '@LanasTwittah'
 'y' '@vegetta777' '.' 'What' 'the' 'actual' 'fuck' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'other' 'other' 'lang2' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'other']"
4363,['@adelitapower' 'pero' 'que' 'te' 'calles'],['other' 'lang2' 'lang2' 'lang2' 'lang2']
4364,"['El' 'día' 'en' 'el' 'que' 'una' 'compañía' 'decida' 'poner' 'fibra'
 'óptica' 'en' 'el' 'bloque' ',' '@rushsmith' 'y' 'yo' 'salimos'
 'desnudos' 'a' 'bailar' 'en' 'la' 'calle' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
4365,['@KoiSamsa' 'eso' 'que' 'acabas' 'de' 'poner' 'es' 'de' 'intensa'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
4366,"['@OMGlobalNews' 'may' 'the' 'force' 'be' 'with' 'you'
 'http://t.co/gMnnVwqHyv']",['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
4367,['Snapchat' 'me' 'mata' '.'],['ne' 'lang2' 'lang2' 'other']
4368,['http://t.co/8bG6bmx2eH'],['other']
4369,"['@HollyMollyYT' '@Mr_Marzo' 'o' 'de' 'cómo' 'se' 'hacen' 'los' 'nidos'
 'los' 'castores' '.']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other']"
4370,['@OMGlobalNews' '😑'],['other' 'other']
4371,['@Lasrtajaramillo' 'gracias' '😍😍😍'],['other' 'lang2' 'other']
4372,"['El' 'vlog' 'de' 'hoy' ':' 'LANZAMIENTO' 'DE' 'MI' 'SINGLE'
 'http://t.co/h6x0LPXvmJ']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang1'
 'other']"
4373,['@CrisMone7' 'guapa' 'tú' '!'],['other' 'lang2' 'lang2' 'other']
4374,"['@sombreroabuelo' 'ganitas' 'de' 'veros' 'por' 'Lavapiés' 'esta' 'tarde'
 ':D']",['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
4375,['@GonzBradshaw' 'es' 'que' 'te' 'quiero'],['other' 'lang2' 'lang2' 'lang2' 'lang2']
4376,['@gominuke' 'TIA'],['other' 'lang2']
4377,['La' 'gati' 'me' 'entiende' '.'],['lang2' 'lang2' 'lang2' 'lang2' 'other']
4378,['@gominuke' 'sisisisi'],['other' 'lang2']
4379,['Mira' 'yo' 'paso' '.'],['lang2' 'lang2' 'lang2' 'other']
4380,"['Se' 'ríen' 'de' 'mí' '.' 'DE' 'MÍ' '.' 'DEEE' 'MÍIII' '!!' '!' 'Normal'
 '.' 'http://t.co/3kIrJ2Un47']","['lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'other' 'other' 'lang2' 'other' 'other']"
4381,['@OMGlobalNews' 'porque' 'puedo' 'http://t.co/5dSJXhNZqo'],['other' 'lang2' 'lang2' 'other']
4382,['@OMGlobalNews' 'cuando' 'Omai' 'es' 'tonto'],['other' 'lang2' 'ne' 'lang2' 'lang2']
4383,['@cabaret_es' 'quiero' 'ir' '!!' 'Puedo' '?' '😃'],['other' 'lang2' 'lang2' 'other' 'lang2' 'other' 'other']
4384,['@IamLeroySanchez' 'gracias' '!' '😃'],['other' 'lang2' 'other' 'other']
4385,['@Davitxos' 'ay' 'gracias' '😍'],['other' 'lang2' 'lang2' 'other']
4386,"['El' 'vlog' 'de' 'hoy' ':' 'ÚLTIMO' 'DÍA' 'EN' 'ARGENTINA' '!!'
 'http://t.co/BeIq1INr7x']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'ne'
 'other' 'other']"
4387,['@EnzoLabarthe1' 'https://t.co/dJ5k9Npfo7' '^^'],['other' 'other' 'other']
4388,['@dokushojewel' 'sois' 'muchos' '!' 'En' 'ello' 'estoy' '!!' '😍😍😍'],['other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other' 'other']
4389,['@aritzmeh' 'ay' 'creo' 'que' 'te' 'quiero' '😳'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
4390,['@OMGlobalNews' '😍😍😍'],['other' 'other']
4391,['@BonDiaAmores' 'arsa' '!' 'Taconeo' '!' 'Mil' 'gracias' 'preciosa' '😍'],['other' 'lang2' 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other']
4392,['@elyn_meloncia' 'todo' 'es' 'gracias' 'a' 'vosotros' '❤' '️'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']
4393,"['@Luciatwittah3' 'yo' '??' 'Qué' 'va' '..' '.' 'Nooooo' 'no' 'no' 'no'
 '..' '.' 'Noooo']","['other' 'lang2' 'other' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'other' 'lang2']"
4394,['@ImArasheli_' 'jajajajaa' 'entonces' 'yo' 'feliz' 'si' 'te' 'gustó'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
4395,"['@jbustosvalencia' 'hasta' 'el' 'fin' 'de' 'los' 'tiempos' '!!' 'FOREVER'
 '!' 'Bueno' 'quizá' 'no' 'tanto']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1'
 'other' 'lang2' 'lang2' 'lang2' 'lang2']"
4396,['@msj472' 'gracias' 'a' 'ti' '😍'],['other' 'lang2' 'lang2' 'lang2' 'other']
4397,"['@A_S_Medina' 'con' 'que' 'la' 'escuches' 'y' 'te' 'guste' 'me' 'vale'
 '😊' '❤' '️']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'other']"
4398,['@LeidyCoepoe' 'gracias' 'gracias' '!!'],['other' 'lang2' 'lang2' 'other']
4399,['@littlebigdani' 'muchísimas' 'gracias' '😍'],['other' 'lang2' 'lang2' 'other']
4400,"['@Aloneew' 'a' 'escucharlo' 'y' 'disfrutarlo' '!' '(' 'Si' 'te' 'gusta'
 'claro' '😁)']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'other']"
4401,"['@FaOrozco' 'pero' 'por' 'qué' 'eres' 'tan' 'preciosa' 'tú' '?' 'Gracias'
 '😍']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'other']"
4402,['@fxllingsxexo' 'aaay' 'muchas' 'gracias' '!'],['other' 'lang2' 'lang2' 'lang2' 'other']
4403,['@Maar_Riveroo' 'vamoooo' '!' '😊😊😊'],['other' 'lang2' 'other' 'other']
4404,['@yoyella80' 'y' 'es' 'para' 'siempre' '!!' '😃'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']
4405,['@RoEnLaRed' '😃😃😃😃'],['other' 'other']
4406,['PLS' 'http://t.co/wVqxKIW2AD'],['lang1' 'other']
4407,"['Hola' 'mañana' 'tengo' 'que' 'estar' 'despierta' 'a' 'las' '6.30' 'y'
 'aquí' 'estoy' '.' 'Genial' '.' 'Chachi' '.' 'Gracias' 'jet' 'lag' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other' 'ne' 'other' 'lang2'
 'lang1' 'lang1' 'other']"
4408,['@alexdelaIglesia' '👀'],['other' 'other']
4409,"['El' 'vlog' 'de' 'hoy' ':' 'LO' 'MÁS' 'EMOCIONANTE' 'DE' 'MI' 'VIDA'
 'http://t.co/X4F3gabZmB']","['lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other']"
4410,['@JaviHarper' '😇😇😇😇'],['other' 'other']
4411,['@zaynnbemine' 'nadie' 'me' 'dio' 'Pisco' 'en' 'Chile' '😔'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'other']
4412,"['Cuando' 'deshaces' 'la' 'maleta' 'de' 'Argentina' '..' '.'
 'http://t.co/3HAVQQNylL']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'other' 'other' 'other']
4413,['@gominuke' 'quién' 'te' 'va' 'a' 'hablar' 'a' 'ti' 'fea' '?'],"['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
4414,['MAÑANA' 'SALE' 'MI' 'SINGLE' 'PHANTOM' 'LIMB' 'http://t.co/NffK2DwVXB'],['lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'other']
4415,['SPOILERERERERERERERERER'],['lang1']
4416,"['Un' 'pequeño' 'adelanto' 'del' 'vlog' 'de' 'hoy' '..' '.'
 'http://t.co/5oDldMx4Wt']","['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'other'
 'other']"
4417,"['Justo' 'acabo' 'de' 'editar' 'el' 'vlog' 'de' 'hoy' '.' 'Es' 'del'
 'primer' 'show' 'de' 'Argentina' 'y' 'estoy' 'temblando' 'de' 'lo'
 'emocionante' 'que' 'es' '.' 'QUIERO' 'VOLVER' 'DIO' 'MIO' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'ne' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']"
4418,['@danelvlogs' '@rushsmith' 'compartimos' 'tu' 'sufrimiento'],['other' 'other' 'lang2' 'lang2' 'lang2']
4419,['@rushsmith' 'puedo' 'ir' '?'],['other' 'lang2' 'lang2' 'other']
4420,"['Que' 'la' 'chica' 'le' 'dice' '""' 'cógeme' '""' '.']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other' 'other']
4421,"['Cuando' 'llegas' 'de' 'Latinoamérica' 'y' 'te' 'pones' 'a' 'ver' 'una'
 'serie' 'española' '..' '.' 'http://t.co/OwJtnunLrx']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'other' 'other']"
4422,['El' 'jet' 'lag' 'es' 'real' '.' 'http://t.co/SzYyp3Bghg'],['lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'other' 'other']
4423,"['Y' 'nada' 'que' 'he' 'empezado' 'a' 'ver' 'El' 'Ministerio' 'del'
 'Tiempo' 'en' 'el' 'avión' 'y' 'eso' 'que' 'pues' 'me' 'he' 'enamorado'
 'de' '@cayetanagc' 'así' 'como' 'dato' 'y' 'tal' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']"
4424,"['Ya' 'en' 'casita' 'con' 'la' 'gati' '.' 'Necesito' 'esta' 'tranquilidad'
 ',' 'pero' 'echo' 'un' 'poco' 'de' 'menillos' 'todo' '.' 'Compartir'
 'momentos' 'con' 'gente' 'tan' 'genial' 'mola' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'other' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
